content,category
The headphones arrived damaged. I need a refund please.,refund_request
Your service is the worst I've experienced.,complaint
How do I request a refund for order #28887?,refund_request
Your customer support is the worst I've experienced.,complaint
Can you tell me more about the dimensions feature?,product_information
I'd like to cancel my order and receive a full refund.,refund_request
How do I check my account settings?,account_inquiry
Can I get my money back for camera? It doesn't work properly.,refund_request
How do I request a refund for order #29403?,refund_request
The price feature isn't working on my tablet.,technical_support
I've been waiting too long for refund and still nothing!,complaint
This is unacceptable. The customer support is terrible.,complaint
How do I update on my laptop?,technical_support
My printer won't update. Can you help?,technical_support
Your delivery time is the worst I've experienced.,complaint
Your service is the worst I've experienced.,complaint
I keep getting an error when trying to connect.,technical_support
The laptop arrived damaged. I need a refund please.,refund_request
Can I get my money back for phone? It doesn't work properly.,refund_request
I want to return my smartwatch and get a refund.,refund_request
The specifications feature isn't working on my laptop.,technical_support
How do I check my account settings?,account_inquiry
I've been waiting too long for response and still nothing!,complaint
When does my service renew?,account_inquiry
Can you tell me more about the battery life feature?,product_information
How do I request a refund for order #88221?,refund_request
I'm very disappointed with delivery time.,complaint
I've been waiting 3 days for replacement and still nothing!,complaint
How do I update my account?,account_inquiry
My phone won't sync. Can you help?,technical_support
I forgot my password. Can you help me reset it?,account_inquiry
I keep getting an error when trying to install.,technical_support
Your delivery time is the worst I've experienced.,complaint
What's the difference between headphones and camera?,product_information
I forgot my password. Can you help me reset it?,account_inquiry
How do I request a refund for order #96639?,refund_request
I keep getting an error when trying to update.,technical_support
Can I update my preferences?,account_inquiry
Is the tablet compatible with laptop?,product_information
I'm filing a complaint about product quality.,complaint
How do I verify my account?,account_inquiry
I'm having trouble install with my camera.,technical_support
Can you tell me more about the dimensions feature?,product_information
I'd like to cancel my order and receive a full refund.,refund_request
Does the laptop come with warranty?,product_information
I've been waiting 2 weeks for response and still nothing!,complaint
How do I change my account?,account_inquiry
How do I request a refund for order #89908?,refund_request
Can I get my money back for laptop? It doesn't work properly.,refund_request
What's the difference between headphones and headphones?,product_information
My tablet won't connect. Can you help?,technical_support
I've been waiting 2 weeks for order and still nothing!,complaint
Can I get my money back for phone? It doesn't work properly.,refund_request
When does my plan renew?,account_inquiry
The headphones arrived damaged. I need a refund please.,refund_request
How do I connect on my smartwatch?,technical_support
How do I access my account?,account_inquiry
My laptop won't connect. Can you help?,technical_support
I'm filing a complaint about delivery time.,complaint
I'm very disappointed with product quality.,complaint
This is unacceptable. The customer support is terrible.,complaint
The battery life feature isn't working on my phone.,technical_support
Can you tell me more about the warranty feature?,product_information
I've been waiting over a week for response and still nothing!,complaint
How do I check my account history?,account_inquiry
I'm having trouble turn on with my headphones.,technical_support
Your customer support is the worst I've experienced.,complaint
I want to return my phone and get a refund.,refund_request
How do I update my account?,account_inquiry
I'd like to cancel my order and receive a full refund.,refund_request
I keep getting an error when trying to update.,technical_support
I'm filing a complaint about service.,complaint
I'm very disappointed with packaging.,complaint
Can I get my money back for phone? It doesn't work properly.,refund_request
I keep getting an error when trying to download.,technical_support
Does the phone come with charger?,product_information
Your product quality is the worst I've experienced.,complaint
The warranty feature isn't working on my printer.,technical_support
How do I request a refund for order #97302?,refund_request
How do I update on my phone?,technical_support
Is the printer compatible with laptop?,product_information
The phone arrived damaged. I need a refund please.,refund_request
I keep getting an error when trying to charge.,technical_support
The warranty feature isn't working on my headphones.,technical_support
I'm very disappointed with packaging.,complaint
Can I get my money back for smartwatch? It doesn't work properly.,refund_request
Your delivery time is the worst I've experienced.,complaint
Can I update my shipping address?,account_inquiry
How do I access my account?,account_inquiry
What are the battery life of the laptop?,product_information
The battery life feature isn't working on my tablet.,technical_support
When does my subscription renew?,account_inquiry
Your packaging is the worst I've experienced.,complaint
I want to return my laptop and get a refund.,refund_request
How do I update my account?,account_inquiry
I'm having trouble connect with my smartwatch.,technical_support
How do I connect on my laptop?,technical_support
I'm filing a complaint about delivery time.,complaint
My laptop won't download. Can you help?,technical_support
Can I get my money back for printer? It doesn't work properly.,refund_request
The laptop arrived damaged. I need a refund please.,refund_request
What are the specifications of the smartwatch?,product_information
I forgot my password. Can you help me reset it?,account_inquiry
How do I request a refund for order #38000?,refund_request
Can you tell me more about the price feature?,product_information
I want to return my headphones and get a refund.,refund_request
How do I request a refund for order #31055?,refund_request
Can I get my money back for laptop? It doesn't work properly.,refund_request
What are the battery life of the camera?,product_information
I've been waiting 3 days for refund and still nothing!,complaint
I've been waiting a month for response and still nothing!,complaint
How do I verify my account?,account_inquiry
I've been waiting 3 days for order and still nothing!,complaint
Can I update my payment method?,account_inquiry
I keep getting an error when trying to charge.,technical_support
This is unacceptable. The customer support is terrible.,complaint
The phone arrived damaged. I need a refund please.,refund_request
The specifications feature isn't working on my headphones.,technical_support
The laptop arrived damaged. I need a refund please.,refund_request
Your service is the worst I've experienced.,complaint
How do I delete my account?,account_inquiry
What's the difference between printer and camera?,product_information
I'm having trouble sync with my camera.,technical_support
What are the dimensions of the camera?,product_information
Your customer support is the worst I've experienced.,complaint
Can you tell me more about the camera quality feature?,product_information
When does my subscription renew?,account_inquiry
Your customer support is the worst I've experienced.,complaint
I'd like to cancel my order and receive a full refund.,refund_request
How do I install on my printer?,technical_support
Can you tell me more about the dimensions feature?,product_information
Your delivery time is the worst I've experienced.,complaint
How do I delete my account?,account_inquiry
Does the tablet come with warranty?,product_information
When does my subscription renew?,account_inquiry
What are the dimensions of the smartwatch?,product_information
Can you tell me more about the price feature?,product_information
What are the warranty of the camera?,product_information
Can I get my money back for phone? It doesn't work properly.,refund_request
When does my membership renew?,account_inquiry
I forgot my password. Can you help me reset it?,account_inquiry
I keep getting an error when trying to turn on.,technical_support
I'm having trouble update with my phone.,technical_support
I want to return my tablet and get a refund.,refund_request
I'd like to cancel my order and receive a full refund.,refund_request
Can I get my money back for smartwatch? It doesn't work properly.,refund_request
Does the printer come with charger?,product_information
The specifications feature isn't working on my phone.,technical_support
I forgot my password. Can you help me reset it?,account_inquiry
Your packaging is the worst I've experienced.,complaint
How do I check my account status?,account_inquiry
Can you tell me more about the dimensions feature?,product_information
I'd like to cancel my order and receive a full refund.,refund_request
I forgot my password. Can you help me reset it?,account_inquiry
Is the headphones compatible with camera?,product_information
Can you tell me more about the price feature?,product_information
I'm having trouble install with my printer.,technical_support
I've been waiting over a week for response and still nothing!,complaint
Is the headphones compatible with laptop?,product_information
Can I update my preferences?,account_inquiry
This is unacceptable. The product quality is terrible.,complaint
I'm filing a complaint about service.,complaint
How do I update my account?,account_inquiry
When does my membership renew?,account_inquiry
I want to return my printer and get a refund.,refund_request
Your service is the worst I've experienced.,complaint
How do I install on my printer?,technical_support
How do I check my account status?,account_inquiry
I want to return my phone and get a refund.,refund_request
The price feature isn't working on my headphones.,technical_support
I keep getting an error when trying to update.,technical_support
Can I get my money back for printer? It doesn't work properly.,refund_request
I've been waiting 3 days for refund and still nothing!,complaint
The tablet arrived damaged. I need a refund please.,refund_request
Can you tell me more about the price feature?,product_information
My tablet won't update. Can you help?,technical_support
Can you tell me more about the camera quality feature?,product_information
The printer arrived damaged. I need a refund please.,refund_request
Does the camera come with case?,product_information
I'm very disappointed with service.,complaint
Is the smartwatch compatible with camera?,product_information
The camera quality feature isn't working on my tablet.,technical_support
This is unacceptable. The delivery time is terrible.,complaint
The battery life feature isn't working on my phone.,technical_support
I'm very disappointed with delivery time.,complaint
I'm filing a complaint about product quality.,complaint
This is unacceptable. The customer support is terrible.,complaint
When does my plan renew?,account_inquiry
I'd like to cancel my order and receive a full refund.,refund_request
The dimensions feature isn't working on my headphones.,technical_support
How do I update my account?,account_inquiry
Is the camera compatible with laptop?,product_information
Your delivery time is the worst I've experienced.,complaint
When does my subscription renew?,account_inquiry
I keep getting an error when trying to update.,technical_support
How do I update on my tablet?,technical_support
I'm filing a complaint about product quality.,complaint
How do I change my account?,account_inquiry
The phone arrived damaged. I need a refund please.,refund_request
I'd like to cancel my order and receive a full refund.,refund_request
What's the difference between phone and tablet?,product_information
I'm very disappointed with delivery time.,complaint
How do I install on my headphones?,technical_support
This is unacceptable. The product quality is terrible.,complaint
Can you tell me more about the battery life feature?,product_information
How do I check my account settings?,account_inquiry
The headphones arrived damaged. I need a refund please.,refund_request
Your packaging is the worst I've experienced.,complaint
I'm filing a complaint about customer support.,complaint
How do I check my account balance?,account_inquiry
My tablet won't turn on. Can you help?,technical_support
This is unacceptable. The service is terrible.,complaint
What's the difference between smartwatch and printer?,product_information
I forgot my password. Can you help me reset it?,account_inquiry
My phone won't charge. Can you help?,technical_support
The laptop arrived damaged. I need a refund please.,refund_request
Is the smartwatch compatible with headphones?,product_information
Does the laptop come with charger?,product_information
The camera arrived damaged. I need a refund please.,refund_request
I'm filing a complaint about delivery time.,complaint
I keep getting an error when trying to update.,technical_support
Is the headphones compatible with headphones?,product_information
I forgot my password. Can you help me reset it?,account_inquiry
The price feature isn't working on my tablet.,technical_support
When does my subscription renew?,account_inquiry
Can you tell me more about the battery life feature?,product_information
This is unacceptable. The customer support is terrible.,complaint
The dimensions feature isn't working on my headphones.,technical_support
How do I check my account settings?,account_inquiry
How do I charge on my laptop?,technical_support
I'm having trouble charge with my camera.,technical_support
I'm very disappointed with customer support.,complaint
When does my membership renew?,account_inquiry
How do I check my account history?,account_inquiry
How do I request a refund for order #28721?,refund_request
Can I get my money back for phone? It doesn't work properly.,refund_request
My laptop won't sync. Can you help?,technical_support
My printer won't download. Can you help?,technical_support
The smartwatch arrived damaged. I need a refund please.,refund_request
I keep getting an error when trying to turn on.,technical_support
How do I turn on on my printer?,technical_support
What are the dimensions of the smartwatch?,product_information
What's the difference between phone and smartwatch?,product_information
I'm very disappointed with delivery time.,complaint
Your packaging is the worst I've experienced.,complaint
The laptop arrived damaged. I need a refund please.,refund_request
What's the difference between smartwatch and smartwatch?,product_information
How do I request a refund for order #63538?,refund_request
Is the tablet compatible with printer?,product_information
Can I get my money back for tablet? It doesn't work properly.,refund_request
My tablet won't turn on. Can you help?,technical_support
Can I get my money back for smartwatch? It doesn't work properly.,refund_request
The dimensions feature isn't working on my camera.,technical_support
This is unacceptable. The packaging is terrible.,complaint
Can I update my preferences?,account_inquiry
I'm very disappointed with customer support.,complaint
Can you tell me more about the price feature?,product_information
How do I access my account?,account_inquiry
I'm very disappointed with service.,complaint
I've been waiting a month for order and still nothing!,complaint
I want to return my headphones and get a refund.,refund_request
The printer arrived damaged. I need a refund please.,refund_request
The specifications feature isn't working on my laptop.,technical_support
Can I update my email address?,account_inquiry
I keep getting an error when trying to install.,technical_support
Is the smartwatch compatible with laptop?,product_information
I'm very disappointed with customer support.,complaint
Your product quality is the worst I've experienced.,complaint
I'm very disappointed with service.,complaint
What are the dimensions of the smartwatch?,product_information
The smartwatch arrived damaged. I need a refund please.,refund_request
I'm very disappointed with customer support.,complaint
How do I update my account?,account_inquiry
Is the smartwatch compatible with tablet?,product_information
What's the difference between phone and smartwatch?,product_information
The camera arrived damaged. I need a refund please.,refund_request
I'm having trouble download with my laptop.,technical_support
I've been waiting a month for response and still nothing!,complaint
I forgot my password. Can you help me reset it?,account_inquiry
When does my service renew?,account_inquiry
Is the printer compatible with headphones?,product_information
The battery life feature isn't working on my headphones.,technical_support
I'd like to cancel my order and receive a full refund.,refund_request
Is the headphones compatible with laptop?,product_information
How do I check my account history?,account_inquiry
I'd like to cancel my order and receive a full refund.,refund_request
How do I check my account history?,account_inquiry
Can you tell me more about the specifications feature?,product_information
I want to return my smartwatch and get a refund.,refund_request
My phone won't install. Can you help?,technical_support
Does the phone come with warranty?,product_information
My tablet won't update. Can you help?,technical_support
I want to return my camera and get a refund.,refund_request
Is the tablet compatible with camera?,product_information
How do I connect on my camera?,technical_support
I'm filing a complaint about product quality.,complaint
I want to return my headphones and get a refund.,refund_request
How do I access my account?,account_inquiry
When does my membership renew?,account_inquiry
I want to return my phone and get a refund.,refund_request
My laptop won't turn on. Can you help?,technical_support
The printer arrived damaged. I need a refund please.,refund_request
Can I get my money back for printer? It doesn't work properly.,refund_request
How do I request a refund for order #78043?,refund_request
I keep getting an error when trying to charge.,technical_support
How do I check my account status?,account_inquiry
Can I get my money back for tablet? It doesn't work properly.,refund_request
When does my subscription renew?,account_inquiry
How do I sync on my smartwatch?,technical_support
The printer arrived damaged. I need a refund please.,refund_request
Can you tell me more about the specifications feature?,product_information
Can you tell me more about the battery life feature?,product_information
I'd like to cancel my order and receive a full refund.,refund_request
I'm very disappointed with customer support.,complaint
I'm very disappointed with packaging.,complaint
I forgot my password. Can you help me reset it?,account_inquiry
The specifications feature isn't working on my printer.,technical_support
Is the headphones compatible with smartwatch?,product_information
I want to return my camera and get a refund.,refund_request
I'm very disappointed with product quality.,complaint
I've been waiting over a week for order and still nothing!,complaint
Can you tell me more about the price feature?,product_information
Can I get my money back for headphones? It doesn't work properly.,refund_request
I'm very disappointed with product quality.,complaint
I keep getting an error when trying to update.,technical_support
The phone arrived damaged. I need a refund please.,refund_request
How do I check my account balance?,account_inquiry
I'm having trouble turn on with my tablet.,technical_support
Can you tell me more about the battery life feature?,product_information
My laptop won't charge. Can you help?,technical_support
I'm having trouble turn on with my laptop.,technical_support
The specifications feature isn't working on my smartwatch.,technical_support
The phone arrived damaged. I need a refund please.,refund_request
What are the specifications of the tablet?,product_information
This is unacceptable. The service is terrible.,complaint
How do I check my account settings?,account_inquiry
The phone arrived damaged. I need a refund please.,refund_request
Can I get my money back for tablet? It doesn't work properly.,refund_request
I want to return my headphones and get a refund.,refund_request
How do I delete my account?,account_inquiry
Can I update my payment method?,account_inquiry
My printer won't update. Can you help?,technical_support
I'd like to cancel my order and receive a full refund.,refund_request
When does my membership renew?,account_inquiry
I forgot my password. Can you help me reset it?,account_inquiry
How do I check my account settings?,account_inquiry
I've been waiting a month for replacement and still nothing!,complaint
How do I delete my account?,account_inquiry
How do I verify my account?,account_inquiry
Is the phone compatible with tablet?,product_information
How do I request a refund for order #34687?,refund_request
Can I get my money back for printer? It doesn't work properly.,refund_request
How do I check my account settings?,account_inquiry
Can I get my money back for smartwatch? It doesn't work properly.,refund_request
The camera quality feature isn't working on my headphones.,technical_support
This is unacceptable. The product quality is terrible.,complaint
I want to return my camera and get a refund.,refund_request
Your service is the worst I've experienced.,complaint
I'd like to cancel my order and receive a full refund.,refund_request
Does the laptop come with warranty?,product_information
This is unacceptable. The delivery time is terrible.,complaint
How do I update my account?,account_inquiry
I want to return my tablet and get a refund.,refund_request
Can I get my money back for smartwatch? It doesn't work properly.,refund_request
Does the phone come with manual?,product_information
The laptop arrived damaged. I need a refund please.,refund_request
The dimensions feature isn't working on my headphones.,technical_support
How do I check my account history?,account_inquiry
The price feature isn't working on my camera.,technical_support
I've been waiting too long for refund and still nothing!,complaint
I'd like to cancel my order and receive a full refund.,refund_request
I forgot my password. Can you help me reset it?,account_inquiry
What's the difference between phone and phone?,product_information
I'm very disappointed with product quality.,complaint
How do I access my account?,account_inquiry
How do I check my account history?,account_inquiry
My phone won't turn on. Can you help?,technical_support
I'd like to cancel my order and receive a full refund.,refund_request
How do I update my account?,account_inquiry
This is unacceptable. The product quality is terrible.,complaint
Your customer support is the worst I've experienced.,complaint
The battery life feature isn't working on my camera.,technical_support
How do I download on my camera?,technical_support
Can you tell me more about the battery life feature?,product_information
Can I get my money back for headphones? It doesn't work properly.,refund_request
The printer arrived damaged. I need a refund please.,refund_request
Your packaging is the worst I've experienced.,complaint
How do I request a refund for order #73752?,refund_request
I keep getting an error when trying to charge.,technical_support
I'm filing a complaint about service.,complaint
How do I request a refund for order #60625?,refund_request
The camera quality feature isn't working on my tablet.,technical_support
Can you tell me more about the battery life feature?,product_information
What's the difference between headphones and camera?,product_information
What's the difference between laptop and tablet?,product_information
How do I check my account history?,account_inquiry
What are the price of the tablet?,product_information
Your customer support is the worst I've experienced.,complaint
Can I update my shipping address?,account_inquiry
I keep getting an error when trying to charge.,technical_support
Is the tablet compatible with printer?,product_information
The price feature isn't working on my printer.,technical_support
How do I verify my account?,account_inquiry
My printer won't connect. Can you help?,technical_support
I'm having trouble sync with my phone.,technical_support
How do I request a refund for order #22590?,refund_request
I want to return my tablet and get a refund.,refund_request
How do I delete my account?,account_inquiry
Can you tell me more about the battery life feature?,product_information
The battery life feature isn't working on my smartwatch.,technical_support
I'm having trouble sync with my phone.,technical_support
I forgot my password. Can you help me reset it?,account_inquiry
How do I sync on my headphones?,technical_support
The battery life feature isn't working on my printer.,technical_support
My smartwatch won't install. Can you help?,technical_support
I'd like to cancel my order and receive a full refund.,refund_request
The dimensions feature isn't working on my camera.,technical_support
I keep getting an error when trying to charge.,technical_support
Can you tell me more about the warranty feature?,product_information
When does my subscription renew?,account_inquiry
How do I check my account history?,account_inquiry
